*** A (/course/2041639/goethe-zertifikat-b1-wortliste/1/)
ab	from
der Verwandte	relative, relation
verwechseln	to confuse with
verwenden	to use
verzeihen	to forgive
Verzeihung	forgiveness, pardon
verzichten	to forego, give up
das Video	video
viel	a lot
vielleicht	maybe
das Viertel	quarter
virtuell	virtual
der Virus	virus
die Visitenkarte	business card
das Visum	visa
das Vitamin	vitamin
voll	full, complete
die Vollzeit	full time
Volleyball	volleyball
völlig	complete, completely
von	from, by, of, about
voneinander	from each other
vor	before, in front of
vor allem	more than anyone else...
voraus	ahead, in advance
die Voraussetzung	requirement, prerequisite
voraussichtlich	expected
vorbei	by, past
(sich) vorbereiten	to prepare
die Vorbereitung	preparation
vordere	front
die Vorfahrt	right of way
vorgestern	the day before yesterday
vorhaben	to intend
vorher	before(hand)
vorhin	not long ago, just now
vorkommen	to occur, come forward
vorläufig	temporary, provisional
vorlesen	to read to
vorn	in front (not "vorne")
vorne	at the front (not "vorn")
der Vorort	suburb
vorschlagen	to suggest
der Vorschlag	suggestion
die Vorschrift	regulations, rules, instructions
die Vorsicht	caution, care
vorsichtig	carefully
(sich) vorstellen	to put forward, introduce, represent, imagine something
die Vorstellung	performance, introduction
das Vorstellungsgespräch	interview
der Vorteil	advantage
der Vortrag	talk, lecture
die Vorwahl	area code
vorwärts	forwards
der Vorwurf	reproach
*** W (/course/2041639/goethe-zertifikat-b1-wortliste/23/)
waagerecht	horizontal
wach	awake
wachsen	to grow up
der Wagen	car, auto
wählen	to choose, vote
die Wahl	choice
wahnsinnig	insane, mad, incredibly
wahr	true
die Wahrheit	truth
während	while, during
wahrscheinlich	probably
der Wald	forest
die Wand	wall
wandern	to go for a walk
die Wanderung	walk, trek
wann	when
die Ware	goods
warm	warm
die Wärme	warmth
warnen	to warn
warten	to wait
warum	why
was	what
(sich) waschen	to wash
die Wäsche	washing
das Waschmittel	detergent
das Wasser	water
wechseln	to change
wecken	to wake
der Wecker	alarm
weder...noch	neither...nor
der Weg	way
weg	away, gone
wegen	because of
wehtun	to hurt
weiblich	female
weich	soft
sich weigern	to refuse
weil	because
der Wein	wine
weinen	to cry
-weise	-wise (word ending)
weit	far
weiter	further
die Weiterbildung	further education
welcher	which
die Welt	world
weltweit	worldwide
wenden	to turn
wenig	little, a little
wenigstens	at least
wenn	if
wer	who
die Werbung	advertisment
werden	to become
werfen	to throw
das Werk	work, job
die Werkstatt	workshop, garage
das Werkzeug	tools
wert	worth
der Wert	value
wertlos	worthless
wertvoll	valuable
weshalb	why
der Wettbewerb	competition
wetten	to bet
das Wetter	weather
der Wetterbericht	weather report
die Wettervorhersage	weather forecast
wichtig	important
widersprechen	to contradict
wie	how
wieder	again
wiederholen	to repeat
die Wiederholung	repetition
wiegen	to weigh
wild	wild
die Wiese	meadow
wieso	why
wie viel	how long
willkommen	welcome
der Wind	wind
windig	windy
winken	to wave
wirken	to work, have an effect
die Wirkung	effect
wirklich	really
die Wirklichkeit	reality
der Wirt	landlord
die Wirtschaft	economics
wissen	to know
das Wissen	knowledge
die Wissenschaft	science
der Wissenschaftler	scientist (male)
der Witz	joke
wo	where
woher	from where
wohin	to where
wohl	well
wohnen	to live
der Wohnort	domicile
der Wohnsitz	place of residence
die Wohnung	flat, apartment
das Wohnzimmer	living room
die Wolke	cloud
bewölkt	cloudy
die Wolle	wool
wollen	to want
worüber	over/ about what/ which
worum	over/ about which, what about/ around
das Wort	word
das Wörterbuch	dictionary
die Wunde	wound
das Wunder	wonder
wunderbar	wonderful, marvellous
wunderschön	beautiful
sich wundern	to wonder
(sich) wünschen	to wish
der Wunsch	wish
die Wurst	sausage
wütend	angry
*** Z (/course/2041639/goethe-zertifikat-b1-wortliste/24/)
die Zahl	number
die Anzahl	quantity
zahlreich	numerous
zahlen	to pay
die Zahlung	payment
zählen	to count
der Zahn	tooth
die Zahncreme / die Zahnpasta	toothpaste
die Zange	pliers, tongs, pincers, forceps
das Zeichen	sign
das Verkehrszeichen	street sign
zeichnen	to draw
die Zeichnung	drawing
zeigen	to show
die Zeile	line
die Zeit	time
der Zeitpunkt	point in time
die Zeitschrift	magazine
die Zeitung	newspaper
das Zelt	tent
zelten	to camp
zentral	central
das Zentrum	centre
zerstören	to destroy
das Zertifikat	certificate
der Zettel	note
das Zeug	stuff, gear
der Zeuge	witness
das Zeugnis	certificate, report, reference
ziehen	to pull, move
das Ziel	goal, aim
ziemlich	fairly, rather
das Zimmer	room
die Zigarette	cigarette
die Zinsen	interest (bank)
der Zirkus	circus
die Zitrone	lemon
der Zoll	customs
die Zone	zone
der Zoo	zoo
zu	to, on, by, too, for
zubereiten	to prepare
der Zucker	sugar
zuerst	first
der Zufall	coincidence
zufällig	by chance, accidently
zufrieden	satisfied
der Zugang	access
zugänglich	accessible
der Zug	train
zugehen	to shut
das Zuhause	home
zuhören	to listen
der Zuhörer	listener
die Zukunft	future
zukünftig	in future
zuletzt	finally, at last
zumachen	to close
zumindest	at least
zunächst	first of all
das Zündholz	match
zunehmen	to increase
zurechtkommen	to come in time, cope, manage
zurück	back
zurzeit	at the moment
zusagen	to promise, accept
zusammen	together
die Zusammenarbeit	team work, collaboration
zusammenfassen	to summarize
der Zusammenhang	connection, context
zusätzlich	additional
zuschauen	to watch
der Zuschauer	spectator
der Zuschlag	extra charge
zu sein	to be closed
der Zustand	condition
zuständig	responsible; authorized; competent
zustimmen	to agree
die Zustimmung	agreement
die Zutaten	ingredients
zuverlässig	reliable
zwar	to be sure, indeed
der Zweck	purpose, aim
zweifeln	to doubt
der Zweifel	doubt
die Zwiebel	onion
(sich) zwingen	to force
zwischen	in between, between
*** Abkürzungen (/course/2041639/goethe-zertifikat-b1-wortliste/25/)
die Abkürzung	abbreviation
das Abo	subscription (Abonnement)
der Akku	battery (der Akkumulator)
bzw.	that is, rather (beziehungsweise)
ca.	approximately (circa/ zirka)
d.h.	that means (das heißt)
die DVD	DVD
das EG	ground floor (das Erdgeschoss)
das OG	upper floor (das Obergeschoss)
das UG	basement (das Untergeschoss)
etc.	et cetera
der ICE	intercity express train
das Kfz	motor vehicle (das Kraftfahrzeug)
der Lkw	truck (der Lastkraftwagen)
der PC	personal computer
der Pkw	der Personenkraftwagen
die SMS	Texting (abbrev.) (Textnachrich)
das TV	television
usw.	etc. (und so weiter)
vgl.	refers to, e.g., page number (vergleiche)
das WC	toilet (Wasserklosett)
die WG	shared flat/apartment; flat/apartment sharing (die Wohngemeinschaft)
z.B.	for example (zum Beispiel)
*** Anglizismen (/course/2041639/goethe-zertifikat-b1-wortliste/26/)
Anglizismen	Anglicisms
das Baby	baby
der Babysitter	baby sitter
die Band	band
die Bar	bar
der Bikini	bikini
der Blog	blog
bloggen	to blog
das Camp	camp
campen	to camp
die Castingshow	casting
der CD-Player	CD player
der Chatroom	chat room
chatten	to chat (internet)
checken	to check
der Chip	chip
die City	city
der Club	club
die Cola; das Cola	cola
der Comic; das Comic	comic (magazine)
der Computer	computer
cool	cool
das E-Bike	electric bike
das E-Book	e book
der Fan	fan (sport, etc.)
das Fax	fax
faxen	to fax
das Festival	festival
fit	fit
die Fitness	fitness
global	global
googeln	to google
der Hamburger	hamburger
der Hit	hit (song, etc.)
die Homepage	homepage
das Internet	internet
der Jazz	jazz
der Job	job
jobben	to work, have a job
joggen	to jog
der Ketchup	ketchup
der Killer	killer
der Laptop	laptop
der Link	link (hyper)
live	live (show, stream, etc.)
die E-Mail	e mail
die Mailbox	mailbox (phone)
mailen	to mail (email)
der Manager	manager
die Mobilbox	inbox
das Mountainbike	mountain bike
O.K.	OK
online	online
die Plattform	platform
das Poster	poster
das Puzzle	puzzle
das Sandwich; der Sandwich	sandwich
die Show	show
das Smartphone	smart phone
der Snack	snack
die Software	software
der Song	song
der Spot	spot (in a show)
das Steak	steak
surfen	to surf
der Swimmingpool	swimming pool
das Taxi	taxi
das Team	team
der Terminal	terminal (airport, etc))
die Tour	tour
der Trend	trend
das T-Shirt	t-shirt
twittern	to tweet
der User	user
*** Anweisungssprache Zertifikat B1 (/course/2041639/goethe-zertifikat-b1-wortliste/27/)
die Anweisungen	Instructions
die Aufgabe	task, exercise
ankreuzen	to mark with a cross
der Antwortbogen	answer sheet/ paper
die Anzeige	advertisement, announcement
die Aussage	statement
die Durchsage	announcement (radio)
die Einleitung	introduction, induction
die Folie	background, foil
das Hilfsmittel	aids (help)
der Kommentar	commentary
lösen	to solve
die Lösung	solution
der Moderator	presenter
das Modul	module
die Präsentation	presentation
der Punkt	point
die Rückmeldung	feedback
die Struktur	structure
der Textaufbau	text structure
übertragen	to transfer, apply
zuordnen	to assign (to)
*** Bildungseinrichtungen (/course/2041639/goethe-zertifikat-b1-wortliste/28/)
die Akademie	academy
die Bildungseinrichtung	Educational institution
der Kindergarten	nursery school
die Krippe	nursery school, day nursery
die Kindertagesstätte	day care center
die Grundschule	primary school
die Mittelschule	middle school
die Realschule	middle school
die Gesamtschule	comprehensive school, complete school
die Berufsschule	vocational school
die Sonderschule	special (needs) school
das Gymnasium	secondary school
die Fachhochschule	specialized college of higher education
die Universität	university
die Volkshochschule	adult institution not generally granting academic degrees
*** Bildung: Schulfächer (/course/2041639/goethe-zertifikat-b1-wortliste/29/)
das Schulfach	school subject
die Biologie	biology
die Chemie	chemistry
die Geografie	geography
die Geschichte	history
die Mathematik	mathematics
die Musik	music
die Philosophie	philosophy
die Physik	physics
*** Bildung: Schulnoten (/course/2041639/goethe-zertifikat-b1-wortliste/30/)
die Schulnote	school marks
sehr gut (1)	very good (1)
gut (2)	good (2)
befriedigend (3)	satisfactory (3)
ausreichend (4)	adequate (4)
mangelhaft (5)	deficient (5)
ungenügend (6)	insufficient (6)
*** Farben (/course/2041639/goethe-zertifikat-b1-wortliste/31/)
die Farbe	colour
hell	light
dunkel	dark
blau	blue
braun	brown
gelb	yellow
grau	grey
lila	purple
orange	orange
rosa	pink
rot	red
schwarz	black
violett	violet
weiß	white
grün	green
*** Himmelsrichtungen (/course/2041639/goethe-zertifikat-b1-wortliste/32/)
die Himmelsrichtung	direction (north, etc.)
der Norden	north
nördlich	northern
der Osten	east
östlich	eastern
der Süden	south
südlich	southern
der Westen	west
westlich	western
*** Länder, Kontinente, Bewohner, Nationalitäten, Spra (/course/2041639/goethe-zertifikat-b1-wortliste/33/)
Deutschland	Germany
der Deutsche	German (man)
die Deutsche	German (woman)
deutsch	German (adj.)
das Deutsch	German (language)
Europa	Europe
der Europäer	European (man)
europäisch	European (adj.)
Griechenland	Greece
der Grieche	Greek (man)
die Griechin	Greek (woman)
griechisch	Greek (adj.)
das Griechisch	Greek (language)
Österreich	Austria
der Österreicher	Austrian (man)
die Österreicherin	Austrian (woman)
österreichisch	Austrian (adj.)
die Schweiz	Switzerland
der Schweizer	the Swiss (man)
schweizerisch	Swiss (adj)
die Türkei	Turkey
der Türke	Turk (man)
türkisch	Turkish (adj)
das Türkisch	Turkish (language)
die Ukraine	Ukraine
der Ukrainer	Ukrainian (man)
die Ukrainerin	Ukrainian (woman)
ukrainisch	Ukrainian (adj.)
das Ukrainisch	Ukrainian (language)
*** Politische Begriffe (/course/2041639/goethe-zertifikat-b1-wortliste/34/)
politische Begriffe	political terms (no article)
der Bund	union, confederacy
der Bundeskanzler	Federal Chancellor
der Bundespräsident	Federal President
das Bundesland	state, land
Bundesrepublik Deutschland	German Federal Republic
der Bundestag	lower house of german parliament
der Bürgermeister	mayor
die Demokratie	democracy
demokratisch	democratic
die Europäische Union	European Union
das Europäische Parlament	european parliament
die Gemeinde	community
der Kanton	canton (Switzerland), province
konservativ	conservative
liberal	liberal
der Minister	minister
das Parlament	parliament
die Partei	political party
die Regierung	government
der Staat	state
staatlich	stately
*** Tiere (/course/2041639/goethe-zertifikat-b1-wortliste/35/)
das Tiere	animal
der Affe	monkey
der Bär	bear
die Biene	bee
der Elefant	elephant
die Ente	duck
der Fisch	fish
die Fliege	fly
die Giraffe	giraffe
der Hase	hare
der Hund	dog
das Insekt	insect
die Katze	cat
das Krokodil	crocodile
die Kuh	cow
der Löwe	lion
die Maus	mouse
die Mücke	mosquito
das Pferd	horse
der Pinguin	penguin
das Schaf	sheep
die Schildkröte	tortoise
die Schlange	snake
das Schwein	pig
der Vogel	bird
*** Währungen, Masse, Gewichte (/course/2041639/goethe-zertifikat-b1-wortliste/36/)
die Währung	currency
der Euro	euro
der Franken	Swiss franc
ein Meter	1 metre
ein Zentimeter	1 centimeter
das Gewicht	weight
ein Meter fünfzehn	1,15 m
zweihundert Kilometer	200 km
ein Quadratmeter	1 square meter
ein Grad unter Null/ minus ein Grad	minus one degree
vier Grad über Null/ plus vier Grad	four degrees centigrade
ein Prozent	one percent
ein Liter	one litre
das Maß	measurement
ein Gramm	one gramme
ein halbes Kilo	a half kilo
ein Pfund	a pound
ein Kilogramm	one kilogram
*** Zahlen, Bruchzahlen (/course/2041639/goethe-zertifikat-b1-wortliste/37/)
Zahlen	numbers
eins	1
zwei	2
drei	3
vier	4
fünf	5
sechs	6
sieben	7
acht	8
neun	9
zehn	10
elf	11
zwölf	12
dreizehn	13
einundzwanzig	21
dreißig	30
einhundert	100
einhundertundeins	101
zweihundert	200
tausend	1 000
eine Million	1 000 000
eine Milliarde	1 000 000 000
erste	first
zweite	second (place, thing, etc.)
dritte	third
vierte	fourth
erstens	firstly
zweitens	secondly
drittens	thirdly
viertens	fourthly
einmal	once
zweimal	twice
dreimal	three times
viermal	four times
einfach	single
zweifach/ doppelt	double
plus	plus
minus	minus
Bruchzahlen	fractions
ein halb	a half
ein Drittel	a third
ein Viertel	a quarter
*** Datum (/course/2041639/goethe-zertifikat-b1-wortliste/38/)
neunzehnhundertneunundneunzig	1999
zweitausendundvier	2004
heute ist der erste März/ der erste Dritte	today is the first of March
Berlin, zehnter April/ zehnter Vierter zweitausendundzwölf/ zweitausendzwölf	Berlin, 10th April 2012
*** Feiertage (/course/2041639/goethe-zertifikat-b1-wortliste/39/)
die Feiertage	festivals
das Neujahr	new year
das Ostern	Easter
das Pfingsten	Pentecost
das Weihnachten	Christmas
der/ das Silvester	New years eve
der Nationalfeiertag	national holiday
*** Jahreszeiten (/course/2041639/goethe-zertifikat-b1-wortliste/40/)
die Jahreszeit	season
der Frühling/ das Frühjahr	spring
der Sommer	summer
der Herbst	autumn
der Winter	winter
*** Monatsnamen (/course/2041639/goethe-zertifikat-b1-wortliste/41/)
die Monatsnamen	names of the months
der Januar	January
der Februar	February
der März	March
der April	April
der Mai	May
der Juni	June
der Juli	July
der August	August
der September	September
der Oktober	October
der November	November
der Dezember	December
*** Tageszeiten (/course/2041639/goethe-zertifikat-b1-wortliste/42/)
die Tageszeiten	times of the day
der Tag	day
der Morgen	morning
der Vormittag	morning
der Mittag	midday
der Nachmittag	afternoon
der Abend	evening
die Nacht	night
die Mitternacht	midnight
täglich; tagsüber	daily
morgens; am Morgen	(tomorrow) in the morning
vormittags; am Vormittag	(tomorrow), in the morning, before noon
mittags; zu Mittag; am Mittag	at lunch time
nachmittags; am Nachmittag	afternoon
abends; am Abend	in the evening
nachts; in der Nacht	by night, in the night
um Mitternacht	midnight
*** Uhrzeit (/course/2041639/goethe-zertifikat-b1-wortliste/43/)
die Uhrzeit	time (of day)
null Uhr drei	00:03
sieben Uhr fünfzehn	07:15
dreizehn Uhr siebzehn	13:17
vierundzwanzig Uhr	24:00
ein Uhr	one o'clock
fünf Minuten vor eins	five to one
fünf Minuten nach eins	five past one
viertel vor zwei	quarter to two
viertel nach zwei	quarter past two
halb drei	half past two
*** Wochentage (/course/2041639/goethe-zertifikat-b1-wortliste/44/)
der Wochentag	day of the week
Wochentags	on week days
der Werktag	work day, working day
das Wochenende	the weekend
am Wochenende	at the weekend
der Montag	Monday
der Dienstag	Tuesday
der Mittwoch	Wednesday
der Donnerstag	Thursday
der Freitag	Friday
der Samstag	Saturday
der Sonntag	Sunday
am Montag	on Monday
montags	on Mondays
dienstags	on Tuesdays
mittwochs	on Wednesdays
donnerstags	on Thursdays
freitags	on Fridays
samstags; sonnabends	on Saturdays
Sonntags	on Sundays
*** Zeitangaben (/course/2041639/goethe-zertifikat-b1-wortliste/45/)
Zeitangaben	units of time
die Sekunde	second (1/60th of Minute)
die Minute	minute
die Stunde	hour
der Tag	day
die Woche	week
der Monat	month
monatlich	monthly
das Jahr	year
jährlich	yearly
das Jahrzehnt	decade
das Jahrhundert	century
das Jahrtausend	millennium
stündlich	hourly
wöchentlich	weekly
